source,question1,question2,question3,question4,question5,question6,question7,question8,disease,prompt
EverybodyWiki Bios & Wiki,What,is,,,,,,,Echinococcosis,What is Echinococcosis ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Echovirus 11,What is Echovirus 11 ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Ectopic endometriosis,What is Ectopic endometriosis ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Ehlers–Danlos syndrome leading to compulsive hoarding and Q fever,What is Ehlers–Danlos syndrome leading to compulsive hoarding and Q fever ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Endocarditis secondary to psittacosis,What is Endocarditis secondary to psittacosis ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Entamoeba,What is Entamoeba ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Eosinophilic pneumonitis,What is Eosinophilic pneumonitis ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Eperythrozoon infection,What is Eperythrozoon infection ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Epilepsy,What is Epilepsy ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Erdheim–Chester disease,What is Erdheim–Chester disease ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Ergotism,What is Ergotism ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Erythropoietic protoporphyria,What is Erythropoietic protoporphyria ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Fabry disease,What is Fabry disease ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Familial Mediterranean fever,What is Familial Mediterranean fever ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Fat embolism due to amputation,What is Fat embolism due to amputation ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Fat embolism from unrepaired broken toe,What is Fat embolism from unrepaired broken toe ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Fitz-Hugh–Curtis syndrome secondary to gonorrhea,What is Fitz-Hugh–Curtis syndrome secondary to gonorrhea ?
EverybodyWiki Bios & Wiki,What,are,the,symptoms,of,the,,,flu,What are the symptoms of the flu ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Food bolus bezoar complicated by pharmaceutical drug use,What is Food bolus bezoar complicated by pharmaceutical drug use ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Food lodged in the lung,What is Food lodged in the lung ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Fulminating osteomyelitis,What is Fulminating osteomyelitis ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Giant-cell arteritis,What is Giant-cell arteritis ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Glomus tumor,What is Glomus tumor ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Gold sodium thiomalate poisoning,What is Gold sodium thiomalate poisoning ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Gonorrhea,What is Gonorrhea ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Granulomatosis with polyangiitis,What is Granulomatosis with polyangiitis ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Haemochromatosis,What is Haemochromatosis ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Haemochromatosis and zygomycosis,What is Haemochromatosis and zygomycosis ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Hallucinations,What is Hallucinations ?
EverybodyWiki Bios & Wiki,What,are,some,,home,remedies,for,a,headache,What are some home remedies for a headache ?
EverybodyWiki Bios & Wiki,What,are,some,,non-pharmacological,treatments,for,,headaches,What are some non-pharmacological treatments for headaches ?
EverybodyWiki Bios & Wiki,What,are,some,,alternatives,of,therapies,for,headaches,What are some alternatives of therapies for headaches ?
EverybodyWiki Bios & Wiki,What,are,some,ways,to,prevent,,,headaches,What are some ways to prevent headaches ?
EverybodyWiki Bios & Wiki,What,are,the,symptoms,of,,,,heart attack,What are the symptoms of heart attack ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,"Heat stroke, followed deliberate in-hospital Thallium poisoning to mimic Polio","What is Heat stroke, followed deliberate in-hospital Thallium poisoning to mimic Polio ?"
EverybodyWiki Bios & Wiki,What,is,,,,,,,Hemlock poisoning and Anabolic steroid abuse,What is Hemlock poisoning and Anabolic steroid abuse ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Henoch–Schönlein purpura,What is Henoch–Schönlein purpura ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Hepatitis C,What is Hepatitis C ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Hepatocellular carcinoma,What is Hepatocellular carcinoma ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Hereditary angioedema,What is Hereditary angioedema ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Hereditary coproporphyria,What is Hereditary coproporphyria ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Hereditary hemorrhagic telangiectasia,What is Hereditary hemorrhagic telangiectasia ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Hereditary melanoma,What is Hereditary melanoma ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Histoplasmosis,What is Histoplasmosis ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Hughes–Stovin syndrome,What is Hughes–Stovin syndrome ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Human African trypanosomiasis,What is Human African trypanosomiasis ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Hypersensitivity vasculitis due to Quinine allergy,What is Hypersensitivity vasculitis due to Quinine allergy ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Hyperviscosity syndrome secondary to rheumatoid arthritis,What is Hyperviscosity syndrome secondary to rheumatoid arthritis ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Hypothyroidism secondary to repeated triclosan and caffeine exposure,What is Hypothyroidism secondary to repeated triclosan and caffeine exposure ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Intracranial berry aneurysm of the brain stem,What is Intracranial berry aneurysm of the brain stem ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Iron poisoning,What is Iron poisoning ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Kawasaki's syndrome,What is Kawasaki's syndrome ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Kidney dysfunction secondary to dehydration and Contrast-induced nephropathy,What is Kidney dysfunction secondary to dehydration and Contrast-induced nephropathy ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Langerhans cell histiocytosis,What is Langerhans cell histiocytosis ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Lead Paint Poisoning,What is Lead Paint Poisoning ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Lead poisoning from shards of a bullet,What is Lead poisoning from shards of a bullet ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Legionellosis,What is Legionellosis ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,LEMS secondary to Small cell lung carcinoma,What is LEMS secondary to Small cell lung carcinoma ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Locked-in syndrome secondary to Leptospirosis,What is Locked-in syndrome secondary to Leptospirosis ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Lung cancer,What is Lung cancer ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Lyme disease,What is Lyme disease ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Lymphosarcoma,What is Lymphosarcoma ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Malingering,What is Malingering ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Malnutrition,What is Malnutrition ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Marburg multiple sclerosis,What is Marburg multiple sclerosis ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Mastocytosis,What is Mastocytosis ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Maternal mirror syndrome,What is Maternal mirror syndrome ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,McLeod syndrome causing obsessive–compulsive disorder,What is McLeod syndrome causing obsessive–compulsive disorder ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Measles,What is Measles ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Melioidosis,What is Melioidosis ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,MERRF syndrome,What is MERRF syndrome ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Metal pins in brain displaced by a magnet,What is Metal pins in brain displaced by a magnet ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Methanol poisoning and pheochromocytoma,What is Methanol poisoning and pheochromocytoma ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Methyl bromide poisoning,What is Methyl bromide poisoning ?
EverybodyWiki Bios & Wiki,What,are,the,symptoms,of,,,,migraine,What are the symptoms of migraine ?
EverybodyWiki Bios & Wiki,What,are,some,ways,of,relieve,,,migraine headaches,What are some ways of relieve migraine headaches ?
EverybodyWiki Bios & Wiki,What,are,some,,natural,remedies,for,,migraines,What are some natural remedies for migraines ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Miller Fisher syndrome,What is Miller Fisher syndrome ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Mucormycosis,What is Mucormycosis ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Naphthalene poisoning,What is Naphthalene poisoning ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Nephroptosis,What is Nephroptosis ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Nesidioblastoma and tuberculosis,What is Nesidioblastoma and tuberculosis ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Neurocysticercosis,What is Neurocysticercosis ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Ornithine transcarbamylase deficiency,What is Ornithine transcarbamylase deficiency ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Osteosarcoma,What is Osteosarcoma ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Pancreatic tumor,What is Pancreatic tumor ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Paraneoplastic syndrome secondary to melanoma,What is Paraneoplastic syndrome secondary to melanoma ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Patent ductus arteriosus,What is Patent ductus arteriosus ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Patent ductus arteriosus,What is Patent ductus arteriosus ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,"Pellagra, celiac disease and MALT lymphoma","What is Pellagra, celiac disease and MALT lymphoma ?"
EverybodyWiki Bios & Wiki,What,is,,,,,,,Persistent stapedial artery,What is Persistent stapedial artery ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Phantom Limb,What is Phantom Limb ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Phosdrin poisoning,What is Phosdrin poisoning ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Plummer's disease,What is Plummer's disease ?
EverybodyWiki Bios & Wiki,What,are,the,symptoms,of,,,,pneumonia,What are the symptoms of pneumonia ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Post-partum Eclampsia,What is Post-partum Eclampsia ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Precocious puberty due to externally applied testosterone,What is Precocious puberty due to externally applied testosterone ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Primary amoebic meningoencephalitis,What is Primary amoebic meningoencephalitis ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Primary amoebic meningoencephalitis secondary to infection by Naegleria fowleri,What is Primary amoebic meningoencephalitis secondary to infection by Naegleria fowleri ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Primary Antiphospholipid syndrome,What is Primary Antiphospholipid syndrome ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Propylene glycol toxicity,What is Propylene glycol toxicity ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,"Pseudohermaphroditism, (more specifically complete androgen insensitivity syndrome) and testicular cancer","What is Pseudohermaphroditism, (more specifically complete androgen insensitivity syndrome) and testicular cancer ?"
EverybodyWiki Bios & Wiki,What,is,,,,,,,Psychopathy secondary,What is Psychopathy secondary ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Psychosis,What is Psychosis ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Pulmonary embolism secondary to lung cancer and melanoma,What is Pulmonary embolism secondary to lung cancer and melanoma ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Pulmonary hypoplasia,What is Pulmonary hypoplasia ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Q fever,What is Q fever ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Refsum disease,What is Refsum disease ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Reye's syndrome,What is Reye's syndrome ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Rhodococcus,What is Rhodococcus ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Rickettsialpox,What is Rickettsialpox ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Ritalin abuse and hepatocellular adenoma,What is Ritalin abuse and hepatocellular adenoma ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Sarcoidosis,What is Sarcoidosis ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Schizophrenia and side effects of risperidone,What is Schizophrenia and side effects of risperidone ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Scurvy,What is Scurvy ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Selenosis,What is Selenosis ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Serotonin syndrome,What is Serotonin syndrome ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Sickle cell trait,What is Sickle cell trait ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Silent thyroiditis secondary to polyglandular autoimmune syndrome type III,What is Silent thyroiditis secondary to polyglandular autoimmune syndrome type III ?
EverybodyWiki Bios & Wiki,What,are,some,ways,to,relieve,,,sinus headaches,What are some ways to relieve sinus headaches ?
EverybodyWiki Bios & Wiki,What,are,the,symptoms,of,,,,sinus infection,What are the symptoms of sinus infection ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Spanish fly (cantherides),What is Spanish fly (cantherides) ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Spinal meningioma,What is Spinal meningioma ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Sporotrichosis,What is Sporotrichosis ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Stab wound to the left ventricle and clot blocking blood flow to the radicular artery,What is Stab wound to the left ventricle and clot blocking blood flow to the radicular artery ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Staphylococcus aureus infection,What is Staphylococcus aureus infection ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Staphylococcus from an abscess,What is Staphylococcus from an abscess ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Streptococcal infection,What is Streptococcal infection ?
EverybodyWiki Bios & Wiki,What,are,the,symptoms,of,,,,stroke,What are the symptoms of stroke ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Strongyloidiasis,What is Strongyloidiasis ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Subacute sclerosing panencephalitis,What is Subacute sclerosing panencephalitis ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Syphilis and Jarisch-Herxheimer reaction,What is Syphilis and Jarisch-Herxheimer reaction ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Takayasu's arteritis,What is Takayasu's arteritis ?
EverybodyWiki Bios & Wiki,What,are,some,ways,to,relieve,,,tension headaches,What are some ways to relieve tension headaches ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Teratoma,What is Teratoma ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Thigh muscle infarction,What is Thigh muscle infarction ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Thrombosis,What is Thrombosis ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Thrombotic thrombocytopenic purpura and multiple accessory spleens,What is Thrombotic thrombocytopenic purpura and multiple accessory spleens ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Thrombotic thrombocytopenic purpura secondary to pregnancy,What is Thrombotic thrombocytopenic purpura secondary to pregnancy ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Tick paralysis,What is Tick paralysis ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Toad egg toxicity,What is Toad egg toxicity ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Toxoplasmosis and delayed-onset CVID secondary to phenytoin-mediated Epstein–Barr virus infection,What is Toxoplasmosis and delayed-onset CVID secondary to phenytoin-mediated Epstein–Barr virus infection ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Transplanted cancer stem cells,What is Transplanted cancer stem cells ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Trauma-related syringomyelia,What is Trauma-related syringomyelia ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Tuberculoma and rabies,What is Tuberculoma and rabies ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Tuberous sclerosis and herpes encephalitis,What is Tuberous sclerosis and herpes encephalitis ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Tumor lysis syndrome and steroid-induced psychosis,What is Tumor lysis syndrome and steroid-induced psychosis ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Typhus,What is Typhus ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Undigested toothpick,What is Undigested toothpick ?
EverybodyWiki Bios & Wiki,What,are,the,symptoms,of,,,,urinary tract infection,What are the symptoms of urinary tract infection ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Variegate porphyria,What is Variegate porphyria ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Vibrio vulnificus and haemochromatosis,What is Vibrio vulnificus and haemochromatosis ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Vicodin addiction,What is Vicodin addiction ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Visceral leishmaniasis,What is Visceral leishmaniasis ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Vitamin K deficiency,What is Vitamin K deficiency ?
